prediction,acc_failed,acc_passed,bal_acc,f1,recall,tn,fp,fn,tp
svm_bal_acc_train1819_test1718 series_00,0.61,0.774,0.692,0.623,0.61,94,60,54,185
svm_bal_acc_train1819_test1718 series_01,0.539,0.795,0.667,0.58,0.539,83,71,49,190
svm_bal_acc_train1819_test1718 series_02,0.526,0.799,0.663,0.572,0.526,81,73,48,191
svm_bal_acc_train1819_test1718 series_03,0.5,0.787,0.643,0.546,0.5,77,77,51,188
svm_bal_acc_train1819_test1718 series_04,0.695,0.791,0.743,0.688,0.695,107,47,50,189
svm_bal_acc_train1819_test1718 series_05,0.701,0.803,0.752,0.699,0.701,108,46,47,192
svm_bal_acc_train1819_test1718 series_06,0.688,0.795,0.742,0.686,0.688,106,48,49,190
svm_bal_acc_train1819_test1718 series_07,0.708,0.845,0.776,0.727,0.708,109,45,37,202
svm_bal_acc_train1819_test1718 series_08,0.721,0.816,0.768,0.718,0.721,111,43,44,195
svm_bal_acc_train1819_test1718 series_09,0.701,0.795,0.748,0.695,0.701,108,46,49,190
svm_bal_acc_train1819_test1718 series_10,0.701,0.795,0.748,0.695,0.701,108,46,49,190
svm_bal_acc_train1819_test1718 series_11,0.727,0.774,0.751,0.7,0.727,112,42,54,185
svm_bal_acc_train1819_test1718 series_12,0.721,0.812,0.766,0.716,0.721,111,43,45,194
svm_bal_acc_train1819_test1718 series_13,0.727,0.766,0.746,0.696,0.727,112,42,56,183
svm_bal_acc_train1819_test1718 series_14,0.682,0.762,0.722,0.665,0.682,105,49,57,182
svm_bal_acc_train1819_test1718 series_15,0.695,0.799,0.747,0.693,0.695,107,47,48,191
svm_bal_acc_train1819_test1718 series_16,0.688,0.782,0.735,0.679,0.688,106,48,52,187
svm_bal_acc_train1819_test1718 series_17,0.721,0.799,0.76,0.709,0.721,111,43,48,191
svm_bal_acc_train1819_test1718 series_18,0.74,0.803,0.772,0.724,0.74,114,40,47,192
svm_bal_acc_train1819_test1718 series_19,0.656,0.812,0.734,0.673,0.656,101,53,45,194
svm_bal_acc_train1819_test1718 series_20,0.734,0.824,0.779,0.731,0.734,113,41,42,197
svm_bal_acc_train1819_test1718 series_21,0.727,0.795,0.761,0.711,0.727,112,42,49,190
svm_bal_acc_all1617 series_01 part1,0.545,0.762,0.654,0.59,0.545,18,15,10,32
svm_bal_acc_all1617 series_01 part2,0.656,0.744,0.7,0.656,0.656,21,11,11,32
svm_bal_acc_all1617 series_01 part3,0.531,0.571,0.551,0.507,0.531,17,15,18,24
svm_bal_acc_all1617 series_01 part4,0.656,0.786,0.721,0.677,0.656,21,11,9,33
svm_bal_acc_all1617 series_01 part5,0.625,0.595,0.61,0.58,0.625,20,12,17,25
svm_bal_acc_all1617 series_01 MEAN,0.603,0.692,0.647,0.602,0.603,19.4,12.8,13.0,29.2
svm_bal_acc_all1617 series_02 part1,0.719,0.558,0.638,0.622,0.719,23,9,19,24
svm_bal_acc_all1617 series_02 part2,0.727,0.667,0.697,0.676,0.727,24,9,14,28
svm_bal_acc_all1617 series_02 part3,0.531,0.81,0.67,0.596,0.531,17,15,8,34
svm_bal_acc_all1617 series_02 part4,0.594,0.619,0.606,0.567,0.594,19,13,16,26
svm_bal_acc_all1617 series_02 part5,0.688,0.643,0.665,0.638,0.688,22,10,15,27
svm_bal_acc_all1617 series_02 MEAN,0.652,0.659,0.655,0.62,0.652,21.0,11.2,14.4,27.8
svm_bal_acc_all1617 series_03 part1,0.758,0.69,0.724,0.704,0.758,25,8,13,29
svm_bal_acc_all1617 series_03 part2,0.594,0.698,0.646,0.594,0.594,19,13,13,30
svm_bal_acc_all1617 series_03 part3,0.719,0.69,0.705,0.676,0.719,23,9,13,29
svm_bal_acc_all1617 series_03 part4,0.562,0.69,0.626,0.571,0.562,18,14,13,29
svm_bal_acc_all1617 series_03 part5,0.531,0.738,0.635,0.567,0.531,17,15,11,31
svm_bal_acc_all1617 series_03 MEAN,0.633,0.701,0.667,0.623,0.633,20.4,11.8,12.6,29.6
svm_bal_acc_all1617 series_04 part1,0.719,0.628,0.673,0.648,0.719,23,9,16,27
svm_bal_acc_all1617 series_04 part2,0.697,0.762,0.729,0.697,0.697,23,10,10,32
svm_bal_acc_all1617 series_04 part3,0.531,0.714,0.623,0.557,0.531,17,15,12,30
svm_bal_acc_all1617 series_04 part4,0.531,0.595,0.563,0.515,0.531,17,15,17,25
svm_bal_acc_all1617 series_04 part5,0.688,0.714,0.701,0.667,0.688,22,10,12,30
svm_bal_acc_all1617 series_04 MEAN,0.633,0.683,0.658,0.617,0.633,20.4,11.8,13.4,28.8
svm_bal_acc_all1617 series_05 part1,0.656,0.651,0.654,0.618,0.656,21,11,15,28
svm_bal_acc_all1617 series_05 part2,0.545,0.738,0.642,0.581,0.545,18,15,11,31
svm_bal_acc_all1617 series_05 part3,0.625,0.738,0.682,0.635,0.625,20,12,11,31
svm_bal_acc_all1617 series_05 part4,0.75,0.762,0.756,0.727,0.75,24,8,10,32
svm_bal_acc_all1617 series_05 part5,0.688,0.667,0.677,0.647,0.688,22,10,14,28
svm_bal_acc_all1617 series_05 MEAN,0.653,0.711,0.682,0.642,0.653,21.0,11.2,12.2,30.0
svm_bal_acc_all1617 series_06 part1,0.656,0.767,0.712,0.667,0.656,21,11,10,33
svm_bal_acc_all1617 series_06 part2,0.545,0.738,0.642,0.581,0.545,18,15,11,31
svm_bal_acc_all1617 series_06 part3,0.656,0.738,0.697,0.656,0.656,21,11,11,31
svm_bal_acc_all1617 series_06 part4,0.688,0.619,0.653,0.629,0.688,22,10,16,26
svm_bal_acc_all1617 series_06 part5,0.688,0.5,0.594,0.587,0.688,22,10,21,21
svm_bal_acc_all1617 series_06 MEAN,0.647,0.673,0.66,0.624,0.647,20.8,11.4,13.8,28.4
svm_bal_acc_all1617 series_07 part1,0.667,0.833,0.75,0.71,0.667,22,11,7,35
svm_bal_acc_all1617 series_07 part2,0.531,0.651,0.591,0.531,0.531,17,15,15,28
svm_bal_acc_all1617 series_07 part3,0.562,0.619,0.591,0.545,0.562,18,14,16,26
svm_bal_acc_all1617 series_07 part4,0.719,0.571,0.645,0.63,0.719,23,9,18,24
svm_bal_acc_all1617 series_07 part5,0.594,0.667,0.63,0.585,0.594,19,13,14,28
svm_bal_acc_all1617 series_07 MEAN,0.615,0.668,0.641,0.6,0.615,19.8,12.4,14.0,28.2
svm_bal_acc_all1617 series_08 part1,0.75,0.721,0.735,0.706,0.75,24,8,12,31
svm_bal_acc_all1617 series_08 part2,0.788,0.714,0.751,0.732,0.788,26,7,12,30
svm_bal_acc_all1617 series_08 part3,0.656,0.619,0.638,0.609,0.656,21,11,16,26
svm_bal_acc_all1617 series_08 part4,0.625,0.762,0.693,0.645,0.625,20,12,10,32
svm_bal_acc_all1617 series_08 part5,0.438,0.738,0.588,0.491,0.438,14,18,11,31
svm_bal_acc_all1617 series_08 MEAN,0.651,0.711,0.681,0.637,0.651,21.0,11.2,12.2,30.0
svm_bal_acc_all1617 series_09 part1,0.788,0.619,0.703,0.693,0.788,26,7,16,26
svm_bal_acc_all1617 series_09 part2,0.594,0.814,0.704,0.644,0.594,19,13,8,35
svm_bal_acc_all1617 series_09 part3,0.5,0.833,0.667,0.582,0.5,16,16,7,35
svm_bal_acc_all1617 series_09 part4,0.75,0.619,0.685,0.667,0.75,24,8,16,26
svm_bal_acc_all1617 series_09 part5,0.594,0.69,0.642,0.594,0.594,19,13,13,29
svm_bal_acc_all1617 series_09 MEAN,0.645,0.715,0.68,0.636,0.645,20.8,11.4,12.0,30.2
svm_bal_acc_all1617 series_10 part1,0.531,0.698,0.614,0.548,0.531,17,15,13,30
svm_bal_acc_all1617 series_10 part2,0.545,0.786,0.666,0.6,0.545,18,15,9,33
svm_bal_acc_all1617 series_10 part3,0.562,0.69,0.626,0.571,0.562,18,14,13,29
svm_bal_acc_all1617 series_10 part4,0.844,0.738,0.791,0.771,0.844,27,5,11,31
svm_bal_acc_all1617 series_10 part5,0.5,0.69,0.595,0.525,0.5,16,16,13,29
svm_bal_acc_all1617 series_10 MEAN,0.597,0.72,0.659,0.603,0.597,19.2,13.0,11.8,30.4
svm_bal_acc_all1617 series_11 part1,0.818,0.667,0.742,0.73,0.818,27,6,14,28
svm_bal_acc_all1617 series_11 part2,0.75,0.791,0.77,0.738,0.75,24,8,9,34
svm_bal_acc_all1617 series_11 part3,0.719,0.69,0.705,0.676,0.719,23,9,13,29
svm_bal_acc_all1617 series_11 part4,0.656,0.667,0.661,0.627,0.656,21,11,14,28
svm_bal_acc_all1617 series_11 part5,0.625,0.786,0.705,0.656,0.625,20,12,9,33
svm_bal_acc_all1617 series_11 MEAN,0.714,0.72,0.717,0.685,0.714,23.0,9.2,11.8,30.4
svm_bal_acc_all1617 series_12 part1,0.788,0.619,0.703,0.693,0.788,26,7,16,26
svm_bal_acc_all1617 series_12 part2,0.562,0.744,0.653,0.59,0.562,18,14,11,32
svm_bal_acc_all1617 series_12 part3,0.656,0.714,0.685,0.646,0.656,21,11,12,30
svm_bal_acc_all1617 series_12 part4,0.625,0.762,0.693,0.645,0.625,20,12,10,32
svm_bal_acc_all1617 series_12 part5,0.844,0.786,0.815,0.794,0.844,27,5,9,33
svm_bal_acc_all1617 series_12 MEAN,0.695,0.725,0.71,0.674,0.695,22.4,9.8,11.6,30.6
svm_bal_acc_all1617 series_13 part1,0.625,0.767,0.696,0.645,0.625,20,12,10,33
svm_bal_acc_all1617 series_13 part2,0.758,0.69,0.724,0.704,0.758,25,8,13,29
svm_bal_acc_all1617 series_13 part3,0.719,0.738,0.728,0.697,0.719,23,9,11,31
svm_bal_acc_all1617 series_13 part4,0.688,0.69,0.689,0.657,0.688,22,10,13,29
svm_bal_acc_all1617 series_13 part5,0.625,0.714,0.67,0.625,0.625,20,12,12,30
svm_bal_acc_all1617 series_13 MEAN,0.683,0.72,0.701,0.666,0.683,22.0,10.2,11.8,30.4
svm_bal_acc_all1617 series_14 part1,0.719,0.674,0.697,0.667,0.719,23,9,14,29
