prediction,acc_failed,acc_passed,bal_acc,f1,recall,tn,fp,fn,tp
gd_bal_acc_all1718 series_20 part3,0.742,0.875,0.808,0.767,0.742,23,8,6,42
gd_bal_acc_all1718 series_20 part4,0.767,0.792,0.779,0.73,0.767,23,7,10,38
gd_bal_acc_all1718 series_20 part5,0.516,0.915,0.716,0.627,0.516,16,15,4,43
gd_bal_acc_all1718 series_20 MEAN,0.689,0.837,0.763,0.707,0.689,21.2,9.6,7.8,40.0
gd_bal_acc_all1718 series_21 part1,0.645,0.896,0.77,0.714,0.645,20,11,5,43
gd_bal_acc_all1718 series_21 part2,0.806,0.896,0.851,0.82,0.806,25,6,5,43
gd_bal_acc_all1718 series_21 part3,0.645,0.792,0.718,0.656,0.645,20,11,10,38
gd_bal_acc_all1718 series_21 part4,0.839,0.723,0.781,0.743,0.839,26,5,13,34
gd_bal_acc_all1718 series_21 part5,0.633,0.854,0.744,0.679,0.633,19,11,7,41
gd_bal_acc_all1718 series_21 MEAN,0.714,0.832,0.773,0.722,0.714,22.0,8.8,8.0,39.8
gd_bal_acc_all1718 series_22 part1,0.71,0.688,0.699,0.647,0.71,22,9,15,33
gd_bal_acc_all1718 series_22 part2,0.71,0.812,0.761,0.71,0.71,22,9,9,39
gd_bal_acc_all1718 series_22 part3,0.742,0.792,0.767,0.719,0.742,23,8,10,38
gd_bal_acc_all1718 series_22 part4,0.806,0.745,0.776,0.735,0.806,25,6,12,35
gd_bal_acc_all1718 series_22 part5,0.8,0.771,0.785,0.738,0.8,24,6,11,37
gd_bal_acc_all1718 series_22 MEAN,0.754,0.761,0.757,0.71,0.754,23.2,7.6,11.4,36.4
