prediction,acc_failed,acc_passed,bal_acc,f1,recall,tn,fp,fn,tp
rf_bal_acc_all1819 series_20 part5,0.606,0.944,0.775,0.714,0.606,20,13,3,51
rf_bal_acc_all1819 series_20 MEAN,0.628,0.883,0.756,0.69,0.628,20.6,12.2,6.4,48.2
rf_bal_acc_all1819 series_21 part1,0.424,0.873,0.648,0.519,0.424,14,19,7,48
rf_bal_acc_all1819 series_21 part2,0.515,0.836,0.676,0.576,0.515,17,16,9,46
rf_bal_acc_all1819 series_21 part3,0.562,0.891,0.727,0.643,0.562,18,14,6,49
rf_bal_acc_all1819 series_21 part4,0.576,0.852,0.714,0.633,0.576,19,14,8,46
rf_bal_acc_all1819 series_21 part5,0.758,0.87,0.814,0.769,0.758,25,8,7,47
rf_bal_acc_all1819 series_21 MEAN,0.567,0.864,0.716,0.628,0.567,18.6,14.2,7.4,47.2
rf_bal_acc_all1819 series_22 part1,0.727,0.891,0.809,0.762,0.727,24,9,6,49
rf_bal_acc_all1819 series_22 part2,0.667,0.909,0.788,0.733,0.667,22,11,5,50
rf_bal_acc_all1819 series_22 part3,0.424,0.963,0.694,0.571,0.424,14,19,2,52
rf_bal_acc_all1819 series_22 part4,0.697,0.926,0.811,0.767,0.697,23,10,4,50
rf_bal_acc_all1819 series_22 part5,0.781,0.891,0.836,0.794,0.781,25,7,6,49
rf_bal_acc_all1819 series_22 MEAN,0.659,0.916,0.788,0.725,0.659,21.6,11.2,4.6,50.0
